Configuração,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,kappa_mean,accuracy_std,precision_std,recall_std,f1_std,auc_std,kappa_std
No PCA_5 Folds_2 Layers,0.9336986301369864,0.934960736719378,0.9336986301369864,0.9340848709208112,0.9832617512612192,0.8334000440715347,0.0030753348384443446,0.003015832979285518,0.0030753348384443446,0.0029272288513103525,0.0006659493443390753,0.0076771888240397355
No PCA_50 Folds_2 Layers,0.9345205479452054,0.9359410620808306,0.9345205479452054,0.9351087885688096,0.9847028043470231,0.8357945033489397,0.004992018399531128,0.004988218688273656,0.004992018399531128,0.004991775007283783,0.0012651515502072762,0.012612498073392223
No PCA_5 Folds_Many Layers,0.9482191780821918,0.9491588761958655,0.9482191780821918,0.9486133886868183,0.99000278981331,0.8699748980101697,0.004190974942679016,0.0031082334279166532,0.004190974942679016,0.003721863510536804,0.0009257268345306841,0.009276323155914019
No PCA_50 Folds_Many Layers,0.9512054794520547,0.9514783972500687,0.9512054794520547,0.9510922698979989,0.9916593421239867,0.8762141030902775,0.003873492055215826,0.003795949789880774,0.003873492055215826,0.003746783433528354,0.0005177854139904987,0.0094478913857793
PCA_5 Folds_2 Layers,0.9271232876712329,0.9279154310673918,0.9271232876712329,0.9274276925730834,0.9803391867614316,0.8165969660699121,0.00522706411735312,0.005520365768050864,0.00522706411735312,0.005277746937084926,0.0009460686998099312,0.013588606248789223
PCA_50 Folds_2 Layers,0.9286575342465753,0.9299520350074001,0.9286575342465753,0.9291726765719142,0.9823855402054607,0.8210880768846723,0.006776821844927255,0.006739313648032331,0.006776821844927255,0.006745110991591205,0.002214097629931408,0.016922708053476655
PCA_5 Folds_Many Layers,0.9454794520547946,0.9452953346050353,0.9454794520547946,0.9451020434948744,0.9891789062405871,0.861087999927381,0.00515476375951419,0.005872225628769328,0.00515476375951419,0.005544860697348779,0.0012351355785023986,0.013976207204275911
PCA_50 Folds_Many Layers,0.9521917808219179,0.9522125824505921,0.9521917808219179,0.9519123167638872,0.9911626995545088,0.8785238896597481,0.005643104088779713,0.005975659308334263,0.005643104088779713,0.0058736203246707,0.000938369815206139,0.0147607156344579
