Cenário,Algoritmo,Acurácia,Precisão,Recall,ROC AUC,Kappa
Sem normalização e sem seleção de características,DecisionTreeClassifier,0.9794520547945206,0.980213089802131,0.9794520547945206,0.9750280926324018,0.9471588852696344
Sem normalização e sem seleção de características,RandomForestClassifier,0.9726027397260274,0.9722352709419324,0.9726027397260274,0.9990880072959416,0.9278923323867144
Sem normalização e sem seleção de características,SVC,0.7671232876712328,0.5884781384875212,0.7671232876712328,0.4645693548737324,0.0
Sem normalização e sem seleção de características,MLPClassifier,0.8082191780821918,0.7047628570476285,0.8082191780821918,0.6086411308709531,0.29747379274789476
"Com normalização, sem seleção de características",DecisionTreeClassifier,0.9794520547945206,0.980213089802131,0.9794520547945206,0.9750280926324018,0.9471588852696344
"Com normalização, sem seleção de características",RandomForestClassifier,0.9726027397260274,0.9722352709419324,0.9726027397260274,0.9990880072959416,0.9278923323867144
"Com normalização, sem seleção de características",SVC,0.9246575342465754,0.9281963470319635,0.9246575342465754,0.9851041191670467,0.8062492459886597
"Com normalização, sem seleção de características",MLPClassifier,0.9315068493150684,0.931409401605789,0.9315068493150684,0.9902720778233775,0.819730830966786
"Com seleção de características, sem normalização",DecisionTreeClassifier,0.9794520547945206,0.9790845860104255,0.9794520547945206,0.9631022951816385,0.9459192492900358
"Com seleção de características, sem normalização",RandomForestClassifier,0.9726027397260274,0.9722352709419324,0.9726027397260274,0.9988922410049291,0.9278923323867144
"Com seleção de características, sem normalização",SVC,0.8972602739726028,0.8943287469337073,0.8972602739726028,0.9436064154343908,0.7127492130115425
"Com seleção de características, sem normalização",MLPClassifier,0.8767123287671232,0.8726267724104783,0.8767123287671232,0.9613088452435238,0.671664167916042
Com normalização e seleção de características,DecisionTreeClassifier,0.9794520547945206,0.9790845860104255,0.9794520547945206,0.9631022951816385,0.9459192492900358
Com normalização e seleção de características,RandomForestClassifier,0.9794520547945206,0.9797850076103501,0.9794520547945206,0.9990120079039367,0.9465462533561142
Com normalização e seleção de características,SVC,0.9246575342465754,0.93013698630137,0.9246575342465754,0.9860805756411092,0.8084446564885496
Com normalização e seleção de características,MLPClassifier,0.9726027397260274,0.9733637747336378,0.9726027397260274,0.9936805148415955,0.9295451803595126
CV 1 - Sem normalização e sem seleção de características,DecisionTreeClassifier,0.9575342465753425,0.9590148635397104,0.9575342465753425,0.9394682172786384,0.8927371230039294
"CV 1 - Com normalização, sem seleção de características",DecisionTreeClassifier,0.9575342465753425,0.9590148635397104,0.9575342465753425,0.9394682172786384,0.8927371230039294
"CV 1 - Com seleção de características, sem normalização",DecisionTreeClassifier,0.9547945205479452,0.9560222072503941,0.9547945205479452,0.9368864938950296,0.8858147725064345
CV 1 - Com normalização e seleção de características,DecisionTreeClassifier,0.952054794520548,0.9532764393513944,0.952054794520548,0.9318919545508789,0.8786269405438273
CV 2 - Sem normalização e sem seleção de características,DecisionTreeClassifier,0.9602739726027397,0.960820213964042,0.9602739726027397,0.9473258556604846,0.9005192547167595
"CV 2 - Com normalização, sem seleção de características",DecisionTreeClassifier,0.9602739726027397,0.960820213964042,0.9602739726027397,0.9473258556604846,0.9005192547167595
"CV 2 - Com seleção de características, sem normalização",DecisionTreeClassifier,0.963013698630137,0.9634501055823272,0.963013698630137,0.9516169903970827,0.9073821718904187
CV 2 - Com normalização e seleção de características,DecisionTreeClassifier,0.963013698630137,0.9634501055823272,0.963013698630137,0.9516169903970827,0.9073821718904187
CV 3 - Sem normalização e sem seleção de características,DecisionTreeClassifier,0.9547945205479452,0.9562223763877008,0.9547945205479452,0.9444758676265016,0.8939271183753985
"CV 3 - Com normalização, sem seleção de características",DecisionTreeClassifier,0.9547945205479452,0.9562223763877008,0.9547945205479452,0.9444758676265016,0.8939271183753985
"CV 3 - Com seleção de características, sem normalização",DecisionTreeClassifier,0.9452054794520548,0.9447249878663874,0.9452054794520548,0.9264728033883715,0.8691592135214095
CV 3 - Com normalização e seleção de características,DecisionTreeClassifier,0.9438356164383561,0.9432038021625546,0.9438356164383561,0.9245783997936002,0.8658954046885081
CV 4 - Sem normalização e sem seleção de características,DecisionTreeClassifier,0.9356164383561644,0.9349507019201944,0.9356164383561644,0.910897968933441,0.845851098720892
"CV 4 - Com normalização, sem seleção de características",DecisionTreeClassifier,0.9356164383561644,0.9349507019201944,0.9356164383561644,0.910897968933441,0.845851098720892
"CV 4 - Com seleção de características, sem normalização",DecisionTreeClassifier,0.9452054794520548,0.9438395805108134,0.9452054794520548,0.9209068135080093,0.8677931415428359
CV 4 - Com normalização e seleção de características,DecisionTreeClassifier,0.9438356164383561,0.9424625983616046,0.9438356164383561,0.9186789351771898,0.8644750843351672
CV 5 - Sem normalização e sem seleção de características,DecisionTreeClassifier,0.9519890260631001,0.9536722328168865,0.9519890260631001,0.9413012952540806,0.881204575823746
"CV 5 - Com normalização, sem seleção de características",DecisionTreeClassifier,0.9519890260631001,0.9536722328168865,0.9519890260631001,0.9413012952540806,0.881204575823746
"CV 5 - Com seleção de características, sem normalização",DecisionTreeClassifier,0.943758573388203,0.9462138947038535,0.943758573388203,0.9316242323965037,0.8614383266344937
CV 5 - Com normalização e seleção de características,DecisionTreeClassifier,0.943758573388203,0.9462138947038535,0.943758573388203,0.9316242323965037,0.8614383266344937
CV 1 - Sem normalização e sem seleção de características,RandomForestClassifier,0.9726027397260274,0.9730674482648697,0.9726027397260274,0.9971987044848163,0.9306419891497468
"CV 1 - Com normalização, sem seleção de características",RandomForestClassifier,0.9739726027397261,0.9742837421684188,0.9739726027397261,0.9972507730952156,0.9341092636579572
